나이대,값,비율
20대 초반,1,0.043478260869565216
20대 후반,8,0.34782608695652173
30대 초반,6,0.2608695652173913
30대 후반,2,0.08695652173913043
40대,1,0.043478260869565216
50대,3,0.13043478260869565
60대 이상,2,0.08695652173913043
